Fecha,ID_Venta,Producto,Categoria,Region,Unidades,Precio_Unitario,Ventas
2025-01-05,CL001,Laptop Alfa Pro,Computacion,Metropolitana,5,950000,4750000
2025-01-07,CL002,Monitor Curvo Beta,Perifericos,Valparaiso,8,280000,2240000
2025-01-10,CL003,Teclado Mecanico Gamma,Perifericos,Metropolitana,15,75000,1125000
2025-01-12,CL004,Mouse Inalambrico Delta,Accesorios,Biobio,25,18000,450000
2025-01-15,CL005,Webcam HD Epsilon,Accesorios,Metropolitana,10,45000,450000
2025-01-18,CL006,Silla Ergonomica Omega,Mobiliario,Metropolitana,3,150000,450000
2025-01-20,CL007,Laptop Alfa Pro,Computacion,Valparaiso,3,950000,2850000
2025-01-22,CL008,Monitor Curvo Beta,Perifericos,Metropolitana,12,280000,3360000
2025-01-25,CL009,Teclado Mecanico Gamma,Perifericos,Antofagasta,8,75000,600000
2025-01-28,CL010,Mouse Inalambrico Delta,Accesorios,Metropolitana,30,18000,540000
2025-02-03,CL011,Webcam HD Epsilon,Accesorios,Valparaiso,18,44000,792000
2025-02-05,CL012,Laptop Alfa Pro,Computacion,Metropolitana,6,960000,5760000
2025-02-08,CL013,Silla Ergonomica Omega,Mobiliario,Valparaiso,2,155000,310000
2025-02-10,CL014,Monitor Curvo Beta,Perifericos,Biobio,7,275000,1925000
2025-02-12,CL015,Teclado Mecanico Gamma,Perifericos,Metropolitana,18,75000,1350000
2025-02-15,CL016,Webcam HD Epsilon,Accesorios,Metropolitana,35,42000,1470000
2025-02-18,CL017,Mouse Inalambrico Delta,Accesorios,Antofagasta,22,18000,396000
2025-02-20,CL018,Laptop Alfa Pro,Computacion,Biobio,4,960000,3840000
2025-02-22,CL019,Monitor Curvo Beta,Perifericos,Metropolitana,10,275000,2750000
2025-02-25,CL020,Silla Ergonomica Omega,Mobiliario,Metropolitana,4,155000,620000
2025-02-28,CL021,Teclado Mecanico Gamma,Perifericos,Valparaiso,12,75000,900000
2025-03-02,CL022,Mouse Inalambrico Delta,Accesorios,Metropolitana,28,17500,490000
2025-03-05,CL023,Laptop Alfa Pro,Computacion,Metropolitana,7,970000,6790000
2025-03-07,CL024,Webcam HD Epsilon,Accesorios,Biobio,15,43000,645000
2025-03-10,CL025,Monitor Curvo Beta,Perifericos,Antofagasta,6,270000,1620000
2025-03-12,CL026,Teclado Mecanico Gamma,Perifericos,Metropolitana,20,74000,1480000
2025-03-15,CL027,Silla Ergonomica Omega,Mobiliario,Biobio,3,158000,474000
2025-03-18,CL028,Mouse Inalambrico Delta,Accesorios,Valparaiso,32,17500,560000
2025-03-20,CL029,Laptop Alfa Pro,Computacion,Valparaiso,3,970000,2910000
2025-03-22,CL030,Webcam HD Epsilon,Accesorios,Metropolitana,12,43000,516000
2025-03-25,CL031,Monitor Curvo Beta,Perifericos,Metropolitana,9,270000,2430000
2025-03-28,CL032,Teclado Mecanico Gamma,Perifericos,Biobio,14,74000,1036000
2025-03-30,CL033,Mouse Inalambrico Delta,Accesorios,Metropolitana,35,17500,612500
